date,hgt,sgt
2026-06-03,-9.28,379.75
2026-06-05,-9.28,-31.10
2026-06-08,-9.28,-31.10
2026-06-09,-9.28,-31.10
2026-06-10,-9.28,-31.10
2026-06-11,-9.28,-31.10
2026-06-15,-9.28,-31.10
2026-06-16,-9.28,-31.10
2026-06-17,-9.28,379.75
2026-06-18,-9.28,-31.10
2026-06-22,-9.28,-31.10
2026-06-23,-9.28,379.75
2026-06-24,-9.28,-31.10
2026-06-25,-9.28,-31.10
2026-06-26,-9.28,-31.10
2026-06-30,-9.28,379.75
2026-07-02,-9.28,379.75
2026-07-06,-9.28,-31.10
2026-07-08,-9.28,-31.10
2026-07-09,-9.28,-31.10
2026-07-10,-9.28,-31.10
